V,Libelle GEN,Libelle ROME,Code ROME,score
Non,Technicien helpdesk,Directeur / Directrice assistance technique,H1101,0
Non,Spécialiste support,Directeur / Directrice assistance technique,H1101,0
Non,Conseiller support technique,Directeur / Directrice assistance technique,H1101,0
Non,Architecte base de données,Directeur / Directrice de ballet,L1302,0
Non,Gestionnaire de base de données,Directeur / Directrice de cirque,L1302,0
Non,Architecte base de données,Directeur / Directrice de cirque,L1302,0
Non,Technicien base de données,Directeur / Directrice de cirque,L1302,0
Non,Chef de projet marketing digital,Directeur / Directrice de clientèle d'agence de publicité,E1401,0
Non,Architecte base de données,Directeur / Directrice de compagnie de danse,L1302,0
Non,Technicien base de données,Directeur / Directrice de compagnie de danse,L1302,0
Non,Gestionnaire de base de données,Directeur / Directrice de compagnie de théâtre,L1302,0
Non,Architecte base de données,Directeur / Directrice de compagnie de théâtre,L1302,0
Non,Technicien base de données,Directeur / Directrice de compagnie de théâtre,L1302,0
Oui,Chargé de production vidéos,Directeur / Directrice de création communication multimédia,E1104,100
Non,Gestionnaire de base de données,Directeur / Directrice de festival,L1302,0
Non,Architecte base de données,Directeur / Directrice de festival,L1302,0
Non,Technicien base de données,Directeur / Directrice de festival,L1302,0
Oui,Chargé de production vidéos,Directeur / Directrice de production audiovisuelle,L1302,100
Non,Chargé de production vidéos,Directeur / Directrice de production cinématographique,L1302,0
Non,Chargé de production vidéos,Directeur / Directrice de production de spectacles,L1302,0
Non,Coordinateur de projet,Directeur / Directrice de projet en informatique,M1803,0
Non,Technicien de déploiement de fibre optique,Directeur / Directrice de projet télécoms,M1803,0
Non,Gestionnaire de base de données,Directeur / Directrice de théâtre,L1302,0
Non,Architecte base de données,Directeur / Directrice de théâtre,L1302,0
Non,Technicien base de données,Directeur / Directrice de théâtre,L1302,0
Non,Responsable Sécurité de l'information,Directeur / Directrice d'écriture de scénario,E1102,0
Non,Chef de projet systèmes d'information,Directeur / Directrice d'écriture de scénario,E1102,0
Non,Responsable sécurité des systèmes d'information,Directeur / Directrice d'écriture de scénario,E1102,0
Non,UX Designer,Directeur / Directrice des publications,E1105,0
Non,Motion Designer,Directeur / Directrice des publications,E1105,0
Non,Technicien d'exploitation,Directeur / Directrice des systèmes d'information,M1803,0
Non,Chef de projet systèmes d'information,Directeur / Directrice des systèmes d'information et télécoms,M1803,0
Non,Responsable sécurité des systèmes d'information,Directeur / Directrice d'information,E1106,0
Oui,Responsable e-commerce,E-commercial / E-commerciale,E1101,100
Non,Chef de projet e-commerce,E-commercial / E-commerciale,E1101,0
Non,Architecte base de données,Employé / Employée de reprographie,E1307,0
Non,Architecte base de données,Employé / Employée de routage,E1304,0
Non,Technicien base de données,Employé / Employée de routage,E1304,0
Non,Gestionnaire de base de données,Entrepreneur / Entrepreneuse de spectacles,L1302,0
Non,Architecte base de données,Entrepreneur / Entrepreneuse de spectacles,L1302,0
Non,Expert en système d’information,Expert fiscal / Experte fiscale,K1903,0
Non,Technicien d'exploitation,Expert / Experte métier système d'information,M1806,0
Non,Administrateur Système d'information,Expert / Experte métier système d'information,M1806,0
Non,Security Architect,Expert / Experte sécurité informatique,M1802,0
Non,Technicien helpdesk,Expert / Experte support technique,H1101,0
Oui,Spécialiste support,Expert / Experte support technique,H1101,100
Non,Administrateur Système d'information,Expert / Experte système d'exploitation,M1802,0
Non,Expert en technologie de l’information,Expert / Experte système et réseaux,M1802,0
Non,"Spécialiste systèmes, réseaux et sécurité",Expert / Experte système et réseaux,M1802,0
Non,Expert en système d’information,Expert traducteur / Experte traductrice interprète,E1108,0
Non,Responsable Sécurité de l'information,Exploitant / Exploitante système d'information et de communication aux armées,M1807,0
Non,Chef de projet systèmes d'information,Exploitant / Exploitante système d'information et de communication aux armées,M1807,0
Non,Chargé de production vidéos,Façonneur / Façonneuse de plans,E1307,0
Non,Responsable sécurité des systèmes d'information,Gestionnaire d'applications système d'information,M1806,0
Non,Chargé de production vidéos,Gestionnaire de production informatique,M1810,0
Non,Technicien d'exploitation,Gestionnaire Systèmes d'Information Géographique -SIG-,M1808,0
Non,UI Designer,Graphiste multimédia,E1205,0
Oui,Infographiste,Graphiste multimédia,E1205,100
Non,Développeur Mobile,Informaticien / Informaticienne d'application,M1805,0
Non,Réalisateur de jeux vidéos,Informaticien / Informaticienne de développement,M1805,0
Non,Développeur de jeux vidéos,Informaticien / Informaticienne de développement,M1805,0
Non,Gestionnaire de parc micro-informatique,Informaticien / Informaticienne de développement,M1805,0
Non,Technicien d'exploitation,Ingénieur / Ingénieure analyste en système d'information,M1805,0
Oui,Ingenieur systèmes,Ingénieur / Ingénieure analyste informatique,M1805,100
Non,Gestionnaire de parc micro-informatique,Ingénieur / Ingénieure analyste informatique,M1805,0
Non,Ingenieur systèmes,Ingénieur analyste-programmeur / Ingénieure analyste-programmeuse,M1805,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure architecture navale,H1206,0
Non,Architecte Logiciel,Ingénieur / Ingénieure architecture navale,H1206,0
Non,Spécialiste support,Ingénieur / Ingénieure assistance technique,H1101,0
Non,Conseiller support technique,Ingénieur / Ingénieure assistance technique,H1101,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure biologiste en industrie,H1206,0
Non,Ingenieur systèmes,Ingénieur biomédical / Ingénieure biomédicale en industrie,H1206,0
Non,Ingenieur systèmes,Ingénieur calculateur / Ingénieure calculatrice en industrie,H1206,0
Non,Ingenieur systèmes,Ingénieur concepteur / Ingénieure conceptrice informatique,M1805,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure d'affaires en industrie,H1102,0
Non,Developpeur Front-End,Ingénieur / Ingénieure d'affaires en industrie,H1102,0
Non,Expert en technologie de l’information,Ingénieur / Ingénieure d'analyse et de programmation en informatique de gestion,M1805,0
Non,Développeur d'applications,Ingénieur / Ingénieure d'application en industrie,H1206,0
Non,Ingénieur DevOps,Ingénieur / Ingénieure d'application en industrie,H1206,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure d'application en industrie,H1206,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure d'application informatique,M1805,0
Non,Developpeur Back-End,Ingénieur / Ingénieure de bureau d'études en industrie,H1206,0
Non,Expert en technologie de l’information,Ingénieur / Ingénieure de conception et développement en industrie,H1206,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure de conception informatique,M1805,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure de contrats industriels,H1102,0
Non,Developpeur Back-End,Ingénieur / Ingénieure de développement de produits en industrie,H1206,0
Non,Developpeur Front-End,Ingénieur / Ingénieure de développement de produits en industrie,H1206,0
Non,Expert en technologie de l’information,Ingénieur / Ingénieure de piste en industrie,H1206,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure de piste en industrie,H1206,0
Non,Developpeur Back-End,Ingénieur / Ingénieure de piste en industrie,H1206,0
Non,Gestionnaire de parc micro-informatique,Ingénieur / Ingénieure de production informatique,M1810,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure de production informatique,M1810,0
Non,Developpeur Back-End,Ingénieur / Ingénieure de programme d'affaires en industrie,H1102,0
Non,Developpeur Front-End,Ingénieur / Ingénieure de programme d'affaires en industrie,H1102,0
Non,Expert en technologie de l’information,Ingénieur / Ingénieure de programme d'affaires en industrie,H1102,0
Non,Developpeur Back-End,Ingénieur / Ingénieure de projet d'affaires en industrie,H1102,0
Non,Directeur de projet,Ingénieur / Ingénieure de projet d'affaires en industrie,H1102,0
Non,Chef de projet digital,Ingénieur / Ingénieure de projet d'affaires en industrie,H1102,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure de réalisation informatique,M1805,0
Non,Developpeur Front-End,Ingénieur / Ingénieure de suivi d'affaires en industrie,H1102,0
Non,Expert en technologie de l’information,Ingénieur / Ingénieure de suivi d'affaires en industrie,H1102,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure de verrerie,H1206,0
Non,Gestionnaire de base de données,Ingénieur / Ingénieure de verrerie,H1206,0
Non,Architecte base de données,Ingénieur / Ingénieure de verrerie,H1206,0
Non,Technicien en télécommunication,Ingénieur / Ingénieure déploiement télécoms,M1804,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure déploiement télécoms,M1804,0
Non,Expert en technologie de l’information,Ingénieur / Ingénieure d'étude en informatique de gestion,M1805,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure d'étude informatique,M1805,0
Non,Gestionnaire de parc micro-informatique,Ingénieur / Ingénieure d'étude informatique,M1805,0
Oui,Ingenieur systèmes,Ingénieur / Ingénieure d'étude logiciel informatique,M1805,100
Non,Gestionnaire de parc micro-informatique,Ingénieur / Ingénieure d'étude logiciel informatique,M1805,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure d'études en industrie,H1206,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure développement logiciel informatique,M1805,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure développements en industrie,H1206,0
Non,Ingénieur DevOps,Ingénieur / Ingénieure d'exploitation informatique,M1810,0
Oui,Ingenieur systèmes,Ingénieur / Ingénieure d'exploitation informatique,M1810,100
Non,Ingénieur Cloud computing,Ingénieur / Ingénieure d'exploitation informatique,M1810,0
Non,Ingénieur DevOps,Ingénieur / Ingénieure d'intégration applicative,M1805,0
Non,Ingenieur systèmes,Ingénieur électricien / Ingénieure électricienne en industrie,H1206,0
Non,Ingenieur systèmes,Ingénieur électronicien / Ingénieure électronicienne en industrie,H1206,0
Non,Expert en technologie de l’information,Ingénieur / Ingénieure en aéronautique en industrie,H1206,0
Non,Expert en technologie de l’information,Ingénieur / Ingénieure en aérospatiale en industrie,H1206,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure en aérospatiale en industrie,H1206,0
Non,Technicien en télécommunication,Ingénieur / Ingénieure en architecture télécoms,M1804,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure en architecture télécoms,M1804,0
Non,Expert en technologie de l’information,Ingénieur / Ingénieure en automatismes en industrie,H1206,0
Non,Developpeur Back-End,Ingénieur / Ingénieure en automatismes en industrie,H1206,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure en automobile en industrie,H1206,0
Non,Expert en technologie de l’information,Ingénieur / Ingénieure en avionique en industrie,H1206,0
Non,Developpeur Back-End,Ingénieur / Ingénieure en avionique en industrie,H1206,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure en avionique en industrie,H1206,0
Non,Developpeur Back-End,Ingénieur / Ingénieure en biopuce en industrie,H1206,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure en biopuce en industrie,H1206,0
Non,Developpeur Back-End,Ingénieur / Ingénieure en biotechnologie en industrie,H1206,0
Non,Expert en technologie de l’information,Ingénieur / Ingénieure en chimie en industrie,H1206,0
Non,Developpeur Back-End,Ingénieur / Ingénieure en chimie en industrie,H1206,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure en chimie en industrie,H1206,0
Non,Developpeur Back-End,Ingénieur / Ingénieure en cristallographie en industrie,H1206,0
Non,Développeur d'applications,Ingénieur / Ingénieure en développement d'applications,M1805,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure en développement d'applications,M1805,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure en innovations technologiques,H1206,0
Non,Developpeur Back-End,Ingénieur / Ingénieure en matériaux en industrie,H1206,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure en matériaux en industrie,H1206,0
Non,Expert en technologie de l’information,Ingénieur / Ingénieure en microbiologie en industrie,H1206,0
Non,Developpeur Back-End,Ingénieur / Ingénieure en microbiologie en industrie,H1206,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure en microbiologie en industrie,H1206,0
Non,Expert en technologie de l’information,Ingénieur / Ingénieure en nanotechnologie en industrie,H1206,0
Non,Developpeur Back-End,Ingénieur / Ingénieure en nanotechnologie en industrie,H1206,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure en nanotechnologie en industrie,H1206,0
Non,Developpeur Back-End,Ingénieur / Ingénieure en thermodynamique en industrie,H1206,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure en thermodynamique en industrie,H1206,0
Non,Expert en technologie de l’information,Ingénieur / Ingénieure en veille technologique en industrie,H1206,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure fiabilité en industrie,H1206,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure génie chimique en industrie,H1206,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure hydrobiologiste en industrie,H1206,0
Non,Ingenieur systèmes,Ingénieur informaticien / Ingénieure informaticienne,M1805,0
Non,Intégrateur logiciels métiers,Ingénieur / Ingénieure logiciel informatique,M1805,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure logiciel informatique,M1805,0
Non,Ingenieur systèmes,Ingénieur mécanicien / Ingénieure mécanicienne en industrie,H1206,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure métallurgiste en industrie,H1206,0
Non,Gestionnaire de parc micro-informatique,Ingénieur / Ingénieure méthodes informatiques,M1802,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure métrologie,H1206,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure motoriste en industrie,H1206,0
Non,Ingenieur systèmes,Ingénieur physicien / Ingénieure physicienne en industrie,H1206,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure programme informatique,M1805,0
Non,Gestionnaire de parc micro-informatique,Ingénieur / Ingénieure programme informatique,M1805,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure radio,M1804,0
Non,Administrateur réseau,Ingénieur / Ingénieure réseau informatique,M1802,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure réseau informatique,M1802,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure réseaux télécoms,M1804,0
Non,Technicien de déploiement de fibre optique,Ingénieur / Ingénieure réseaux télécoms,M1804,0
Non,Technicien en télécommunication,Ingénieur / Ingénieure réseaux télécoms,M1804,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure robotique en industrie,H1206,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure robotique en industrie,H1206,0
Oui,Security Architect,Ingénieur / Ingénieure sécurité informatique,M1802,100
Non,Ingenieur systèmes,Ingénieur / Ingénieure sécurité informatique,M1802,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure spécification en industrie,H1206,0
Non,Technicien helpdesk,Ingénieur / Ingénieure support technique,H1101,0
Non,Gestionnaire de parc micro-informatique,Ingénieur / Ingénieure système informatique,M1802,0
Non,Expert en technologie de l’information,Ingénieur / Ingénieure système informatique,M1802,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure système réseau informatique,M1802,0
Non,Expert systèmes et réseaux,Ingénieur / Ingénieure systèmes industriels,H1206,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure télécommunication,M1804,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure télécoms,M1804,0
Non,Ingenieur systèmes,Ingénieur thermicien / Ingénieure thermicienne en industrie,H1206,0
Non,Technicien de déploiement de fibre optique,Ingénieur / Ingénieure validation réseaux de télécoms,M1804,0
Non,Ingenieur systèmes,Ingénieur / Ingénieure validation réseaux de télécoms,M1804,0
Non,Gestionnaire de parc micro-informatique,Ingénieur / Ingénieure validation réseaux de télécoms,M1804,0
Non,Technicien de déploiement de fibre optique,Installateur / Installatrice de matériels de reprographie,I1401,0
Non,Chef de projet systèmes d'information,Installateur / Installatrice de matériels de reprographie,I1401,0
Non,Gestionnaire de parc micro-informatique,Intégrateur / Intégratrice d'exploitation informatique,M1810,0
Non,Intégrateur logiciels métiers,Intégrateur / Intégratrice en industrie,H1206,0
Non,Intégrateur logiciels métiers,Intégrateur / Intégratrice texte/image,E1306,0
Non,Chef de projet communication digitale,Journaliste de « communication de ville »,E1106,0
Non,Chargé de production vidéos,Journaliste de presse audiovisuelle,E1106,0
Non,Vidéaste,Journaliste de presse audiovisuelle,E1106,0
Non,Réalisateur de jeux vidéos,Journaliste de presse audiovisuelle,E1106,0
Non,Chargé de production vidéos,Journaliste de presse écrite,E1106,0
Non,Vidéaste,Journaliste de presse écrite,E1106,0
Non,Réalisateur de jeux vidéos,Journaliste de presse écrite,E1106,0
Non,Chargé de production vidéos,Journaliste de presse radiophonique,E1106,0
Non,Vidéaste,Journaliste de presse radiophonique,E1106,0
Non,Spécialiste test et validation,Journaliste spécialisé / spécialisée,E1106,0
Non,Développeur Web,Journaliste Web,E1106,0
Non,Webmaster,Journaliste Web,E1106,0
Non,Réalisateur de jeux vidéos,Juriste de l'environnement,K1903,0
Non,Développeur de jeux vidéos,Juriste de l'environnement,K1903,0
Non,Game designer,Juriste de l'environnement,K1903,0
Non,Developpeur Back-End,Juriste en droit de l'environnement,K1903,0
Non,Developpeur Front-End,Juriste en droit de l'environnement,K1903,0
Non,Technicien d'exploitation,Maquettiste d'exécution édition,E1306,0
Non,Créateur d'entreprise,Maquettiste d'exécution édition,E1306,0
Non,Administrateur Système d'information,Maquettiste d'exécution édition,E1306,0
Non,Chef de projet communication digitale,Maquettiste d'exécution publicitaire,E1306,0
Non,Responsable communication digitale,Maquettiste d'exécution publicitaire,E1306,0
Non,UI Designer,Maquettiste en arts graphiques,E1205,0
Non,Infographiste,Maquettiste en arts graphiques,E1205,0
Non,Technicien de déploiement de fibre optique,Marketeur / Marketeuse réseaux de télécoms,M1804,0
Non,Ingénieur en Machine Learning,Monteur / Monteuse en imposition,E1306,0
Non,Développeur IA,Opérateur / Opératrice de machine manuelle d'affranchissement,E1304,0
Non,Architecte base de données,Opérateur / Opératrice de photocomposition,E1306,0
Non,Chargé de production vidéos,Opérateur / Opératrice de projection,E1204,0
Non,Délégué à la protection des données (DPD),Opérateur / Opératrice de projection,E1204,0
Non,Responsable Sécurité de l'information,Opérateur / Opératrice d'exécution de façonnage,E1304,0
Non,Responsable sécurité des systèmes d'information,Opérateur / Opératrice d'exécution de façonnage,E1304,0
Non,Architecte base de données,Organisateur / Organisatrice de manifestations,E1107,0
Non,Technicien base de données,Organisateur / Organisatrice de réceptions,E1107,0
Non,Architecte base de données,Organisateur / Organisatrice de soirées,E1107,0
Non,Délégué à la protection des données (DPD),Pharmacologue de l'industrie,H1206,0
Non,Architecte base de données,Photographe de plateau de tournage,E1201,0
Non,Technicien base de données,Photographe de plateau de tournage,E1201,0
Non,UX Designer,Photographe en industrie graphique,E1201,0
Non,UI Designer,Photographe en industrie graphique,E1201,0
Non,Développeur blockchain,Pilote de ressources informatiques,M1810,0
Non,Technicien de déploiement de fibre optique,Planificateur / Planificatrice réseaux de télécoms,M1804,0
Non,Créateur d'entreprise,Premier / Première d'atelier,H1205,0
Non,Fablab manager,Premier / Première d'atelier,H1205,0
Non,Forgeur numérique,Premier / Première d'atelier,H1205,0
Non,Architecte base de données,Préparateur / Préparatrice de copies,E1305,0
Non,Technicien base de données,Préparateur / Préparatrice de copies,E1305,0
Non,Architecte base de données,Producteur / Productrice de musique,L1302,0
Non,Architecte base de données,Producteur / Productrice de spectacles,L1302,0
Non,Architecte base de données,Professeur / Professeure de yoga,G1202,0
Non,Architecte base de données,Programmateur / Programmatrice de spectacles,L1302,0
Non,Technicien base de données,Programmateur / Programmatrice de spectacles,L1302,0
Non,Développeur Mobile,Programmeur / Programmeuse d'applications,M1805,0
Non,Ingénieur DevOps,Programmeur / Programmeuse d'applications,M1805,0
Non,Chef de projet agile,Programmeur / Programmeuse d'études,M1805,0
Non,Coordinateur de projet,Programmeur / Programmeuse d'études,M1805,0
Non,Technicien de déploiement de fibre optique,Programmeur / Programmeuse réseaux de télécoms,M1804,0
Non,Architecte base de données,Projectionniste de laboratoire cinématographique,E1202,0
Non,Technicien base de données,Projectionniste de laboratoire cinématographique,E1202,0
Non,Administrateur réseau,Pupitreur / Pupitreuse réseau informatique,M1810,0
Non,Gestionnaire de parc micro-informatique,Pupitreur / Pupitreuse réseau informatique,M1810,0
Non,Chef de projet digital,Rédacteur / Rédactrice en chef,E1106,0
Non,Chef de projet agile,Rédacteur / Rédactrice en chef,E1106,0
Non,Technicien helpdesk,Rédacteur / Rédactrice technique automobile,H1207,0
Non,Spécialiste support,Rédacteur / Rédactrice technique automobile,H1207,0
Non,Créateur d'entreprise,Régisseur / Régisseuse d'évènementiel,E1107,0
Non,Administrateur Système d'information,Régisseur / Régisseuse d'évènementiel,E1107,0
Non,Réalisateur de jeux vidéos,Régleur / Régleuse de machines de routage,E1302,0
Non,Développeur de jeux vidéos,Régleur / Régleuse de machines de routage,E1302,0
Non,Game designer,Régleur / Régleuse de machines de routage,E1302,0
Non,Technicien de déploiement de fibre optique,Réparateur / Réparatrice de matériels de bricolage,I1402,0
Non,Responsable Sécurité de l'information,Réparateur / Réparatrice de matériels de bricolage,I1402,0
Non,Chef de projet systèmes d'information,Réparateur / Réparatrice de matériels de bricolage,I1402,0
Non,Technicien helpdesk,Représentant technique / Représentante technique utilisateur,H1101,0
Non,Spécialiste support,Représentant technique / Représentante technique utilisateur,H1101,0
Non,Developpeur IOT,Responsable d'application informatique,M1805,0
Non,Fablab manager,Responsable d'atelier d'impression,E1303,0
Non,Chargé de communication web,Responsable de communication en entreprise,E1103,0
Non,Chef de projet communication digitale,Responsable de communication en entreprise,E1103,0
Non,Chargé de communication web,Responsable de communication externe,E1103,0
Non,Chef de projet communication digitale,Responsable de communication externe,E1103,0
Non,Responsable CRM,Responsable de communication interne,E1103,0
Non,Webmaster,Responsable de communication interne,E1103,0
Non,Technicien de déploiement de fibre optique,Responsable de domaine télécoms,M1803,0
Non,Technicien en télécommunication,Responsable de domaine télécoms,M1803,0
Non,Chef de projet web,Responsable de gestion de configuration,M1805,0
Non,Developpeur Back-End,Responsable de la programmation de spectacles,L1302,0
Non,Gestionnaire de base de données,Responsable de la teinte,H1201,0
Non,Architecte base de données,Responsable de la teinte,H1201,0
Non,Technicien de déploiement de fibre optique,Responsable de minilaboratoire de tirage photographique,E1203,0
Non,Chef de projet e-commerce,Responsable de produits d'édition,E1105,0
Non,Technicien de déploiement de fibre optique,Responsable de programmes réseaux de télécoms,M1804,0
Non,Chef de projet digital,Responsable de projet d'affaires en industrie,H1102,0
Non,Directeur de projet,Responsable de projet industriel,H1206,0
Oui,Chef de projet digital,Responsable de projet informatique,M1805,100
Non,Chef de projet digital,Responsable de projet publicitaire,E1401,0
Non,Technicien de déploiement de fibre optique,Responsable de réseaux télécoms,M1803,0
Non,Gestionnaire de parc micro-informatique,Responsable des développements informatiques,M1805,0
Non,Expert en technologie de l’information,Responsable des développements informatiques,M1805,0
Non,Responsable CRM,Responsable des relations extérieures,E1103,0
Non,Responsable Sécurité de l'information,Responsable des systèmes d'information,M1803,0
Non,Gestionnaire de parc micro-informatique,Responsable des systèmes informatiques,M1803,0
Non,Ingénieur DevOps,Responsable d'exploitation informatique,M1803,0
Non,Technicien réseau,Responsable du réseau informatique,M1803,0
Non,Technicien de déploiement de fibre optique,Responsable d'un service télécoms,M1803,0
Non,Responsable communication digitale,Responsable média,E1402,0
Non,Technicien helpdesk,Responsable support technique clients,H1101,0
Non,Spécialiste support,Responsable support technique clients,H1101,0
Non,Responsable sécurité des systèmes d'information,Responsable Système d'Information Géographique -SIG-,M1808,0
Non,Responsable Sécurité de l'information,Responsable Système d'Information Géographique -SIG-,M1808,0
Non,Technicien d'exploitation,Responsable Système d'Information Géographique -SIG-,M1808,0
Non,UX Designer,Roughman / Roughwoman en design,H1204,0
Non,UI Designer,Roughman / Roughwoman en design,H1204,0
Non,Infographiste,Roughman / Roughwoman en design,H1204,0
Non,Forgeur numérique,Second / Seconde d'atelier,H1205,0
Non,Vidéaste,Secrétaire de production cinéma,L1302,0
Non,Développeur IA,Secrétaire de production cinéma,L1302,0
Non,Vidéaste,Secrétaire de production de spectacles,L1302,0
Non,Développeur IA,Secrétaire de production de spectacles,L1302,0
Oui,Technicien système et réseau,Technicien / Technicienne des systèmes d'information et de télécommunications,M1807,100
Non,Technicien helpdesk,Spécialiste support technique,H1101,0
Non,Conseiller support technique,Spécialiste support technique,H1101,0
Non,Technicien système et réseau,Technicien / Technicienne biologiste en recherche-développement,H1210,0
Non,Technicien helpdesk,Technicien / Technicienne bureau d'études maroquinerie,H1205,0
Non,Technicien système et réseau,Technicien / Technicienne bureau d'études maroquinerie,H1205,0
Non,Technicien système et réseau,Technicien / Technicienne chimiste en recherche-développement,H1210,0
Non,Technicien système et réseau,Technicien / Technicienne coloriste en industrie,H1201,0
Non,Technicien système et réseau,Technicien / Technicienne coloriste en recherche et développement,H1201,0
Non,Technicien helpdesk,Technicien / Technicienne communication aux armées,M1807,0
Non,Technicien système et réseau,Technicien / Technicienne communication aux armées,M1807,0
Non,Technicien système et réseau,Technicien / Technicienne d'analyse et d'essais métallurgique,H1210,0
Non,Expert en technologie de l’information,Technicien / Technicienne d'analyse et d'essais métallurgique,H1210,0
Non,Gestionnaire de parc micro-informatique,Technicien / Technicienne d'analyse et d'essais métallurgique,H1210,0
Non,Technicien d'exploitation,Technicien / Technicienne de développement technologique,H1210,0
Non,Expert en technologie de l’information,Technicien / Technicienne de développement technologique,H1210,0
Non,Technicien système et réseau,Technicien / Technicienne de fabrication d'édition,E1308,0
Non,Gestionnaire de parc micro-informatique,Technicien / Technicienne de fabrication d'édition,E1308,0
Non,Technicien helpdesk,Technicien / Technicienne de la météorologie,M1809,0
Non,Technicien système et réseau,Technicien / Technicienne de la météorologie,M1809,0
Non,Développeur IA,Technicien / Technicienne de laboratoire de recherche,H1210,0
Non,Développeur machine learning,Technicien / Technicienne de laboratoire de recherche,H1210,0
Non,Technicien helpdesk,Technicien / Technicienne de laboratoire d'essais,H1210,0
Non,Gestionnaire de parc micro-informatique,Technicien / Technicienne de laboratoire d'essais,H1210,0
Non,Technicien système et réseau,Technicien / Technicienne de laboratoire photographique,E1203,0
Non,Gestionnaire de parc micro-informatique,Technicien / Technicienne de maintenance de réseaux informatiques,I1401,0
Non,Technicien système et réseau,Technicien / Technicienne de maintenance de réseaux informatiques,I1401,0
Non,Gestionnaire de parc micro-informatique,Technicien / Technicienne de maintenance de réseaux télématiques,I1401,0
Non,Technicien système et réseau,Technicien / Technicienne de maintenance de réseaux télématiques,I1401,0
Non,Gestionnaire de parc micro-informatique,Technicien / Technicienne de maintenance de systèmes informatiques,I1401,0
Non,Expert en technologie de l’information,Technicien / Technicienne de maintenance en bureautique,I1401,0
Oui,Technicien helpdesk,Technicien / Technicienne de maintenance en informatique,I1401,100
Non,Expert en technologie de l’information,Technicien / Technicienne de maintenance en matériel de bureau,I1401,0
Non,Technicien en télécommunication,Technicien / Technicienne de maintenance en matériel de bureau,I1401,0
Non,Technicien de déploiement de fibre optique,Technicien / Technicienne de maintenance en matériels domestiques électroniques,I1402,0
Non,Technicien de déploiement de fibre optique,Technicien / Technicienne de maintenance en matériels informatiques,I1401,0
Non,Technicien de déploiement de fibre optique,Technicien / Technicienne de maintenance en matériels photographiques,I1402,0
Non,Technicien helpdesk,Technicien / Technicienne de maintenance en monétique,I1401,0
Non,Technicien système et réseau,Technicien / Technicienne de maintenance en monétique,I1401,0
Non,Technicien helpdesk,Technicien / Technicienne de mesures aérodynamiques,H1210,0
Non,Technicien helpdesk,Technicien / Technicienne de préparation contrôle composition,E1308,0
Non,Technicien système et réseau,Technicien / Technicienne de préparation contrôle composition,E1308,0
Non,Technicien helpdesk,Technicien / Technicienne de préparation contrôle photogravure,E1308,0
Non,Technicien système et réseau,Technicien / Technicienne de préparation contrôle photogravure,E1308,0
Non,Technicien système et réseau,Technicien / Technicienne de recherche appliquée,H1210,0
Non,Technicien helpdesk,Technicien dépanneur / Technicienne dépanneuse gros électroménagers,I1402,0
Non,Technicien système et réseau,Technicien dépanneur / Technicienne dépanneuse gros électroménagers,I1402,0
Non,Technicien helpdesk,Technicien dépanneur / Technicienne dépanneuse petits électroménagers,I1402,0
